"Key","Id","Danish(da)","English(en)","Portuguese (Brazil)(pt-BR)"
"SlideKick","6660544425984","GLIDESPARK:
Tryk på angrib mens du er på jorden for at udføre et glidespark, som kan skade fjender og ødelægge sten.","SLIDE KICK:
While on the ground, press attack to perform a slide kick which can damage enemies and break rocks.","DESLIZAR:
Enquanto estiver no chão, pressione ataque para deslizar e realizar um ataque que consegue danificar inimigos e quebrar rochas."
"Crawl","6661848854528","KRAVL:
Hold ned nede mens du er på jorden for at kravle - så kan du snildt presse dig genenm snævre mellemrum.","CRAWL:
While on the ground, hold down to crawl. This allows you to fit through tight gaps.","ENGATINHAR:
Enquanto estiver no chão, segure baixo para engatinhar. Isso permite que você passe por espaços pequenos."
"Sprint","6662704492544","LØB:
Når du bevæger dig, vil du automatisk begynde at løbe. Du kan slå automatisk løb fra i indstillingsmenuen.","SPRINT:
When moving, you will automatically start sprinting. You can turn off auto sprint in the options menu.","CORRER:
Enquanto estiver andando, automaticamente você começa a correr. Você pode desligar esta opção no Menu de Configurações."
"Jump","6663618850816","HOP:
Tryk på hop for at hoppe. Hold den nede for at hoppe højere. Jo hurtigere du bevæger dig, jo højere kan du hoppe.","JUMP:
Tap the jump button to jump and hold it to jump higher. The faster you're moving, the higher you can jump. ","PULAR:
Pressione a tecla de pulo para pular e segure para pular mais alto. Quanto mais rápido estiver se movimentando, maior será seu pulo. "
"CardinalDescription","74883166208","Cardinal er en erfaren eventyrer, der har mestret en fyrig kampstil, som han bruger hensynsløst. Jeg har bemærket, at indbyggerne i Cornucopia Town ser meget op til ham. Det ser ud til at være gået ham til hovedet, da han er ret kæphøj og selvsikker..","Cardinal is a seasoned adven-
turer who has honed a fiery fighting style that he uses with reckless abandon. I have noticed that the people of Cornucopia Town really look up to him. This seems to have gone to his head, giving him a cocky and confident attitude.","Cardinal é um aventureiro temperamental o qual afinou um estilo de luta quente que utiliza de maneira irresponsavél. Eu percebi que os cidadãos da Cidade de Cornucopia realmente gostam dele. Parece que isso subiu à sua cabeça, dando a ele uma atitude confiante e egocêntrica."
"CardinalAbility1","113021972480","DOBBELTHOP:
Tryk på hop mens du er i luften for at udføre et fyrigt dobbelthop, som skader fjender i nærheden.","DOUBLE JUMP:
You can press jump while airborne to perform a fiery double jump which will damage enemies in range.","PULO DUPLO:
Você pode pressionar a tecla de pulo enquanto estiver no ar para realizar um salto duplo flamejante que danifica inimigos em área."
"CardinalAbility2","138246516736","LUFTSPARK:
Du kan trykke på angrib, mens du er i luften for at udføre et luftspark, som kan skade fjender og ødelægge sten.","AIR KICK:
You can press attack while airborne to perform an airkick which can damage enemies and break rocks.","CHUTE NO AR:
Você pode pressionar a tecla de ataque enquanto estiver no ar para realizer um chute aéreo que danifica inimigos e quebra rochas."
"AzuraDescription","149692772352","Jeg søger at lære om verden og alle dens særheder. Jeg er relativt ny inden for eventyr, men jeg håber at komme videre efter bedste evne. Byens folk fortæller mig, at jeg er flittig og modig af sind. De siger også, at jeg er lidt klodset...?","I seek to learn about the world and all of its oddities. I am relatively new to adven-
turing, but I hope to move forward to the best of my ability. The townsfolk tell me that I'm studious and bold in my thinking. They also say I'm a bit of a klutz though...?","Eu procuro desvendar o mundo e suas características estranhas. Eu sou relativamente nova no rumo de aventura, mas pretendo melhorar minhas habilidades. Os habitantes da cidade me contam que sou estudiosa e objetiva na maneira de pensar. Eles também dizem que sou um pouco azarada...?"
"AzuraAbility1","187655417856","VANDSPRING:
Du kan trykke på hop, mens du er i luften for at skyde dig selv fremad med en vandstråle.","AIR DASH:
You can press jump while airborne to propel yourself forward with a water dash. ","IMPULSO AÉREO:
Você pode pressionar a tecla de pulo enquanto estiver no ar para realizar um impulso aéreo feito de água. "
"AzuraAbility2","193502277632","MÅLSØGNINGSANGREB:
En boble dukker op mens du er i luften, når du låser fast på en fjende. Tryk så på angrib for at målsøgningsangribe.","HOMING ATTACK:
While airborne, a bubble will appear when locked onto an enemy. Press attack to then perform a homing attack.","ATAQUE TELEGUIADO:
Enquanto estiver no ar, uma bolha irá indicar quando você estiver com um inimigo em mira. Pressione a tecla de ataque para realizar um ataque teleguiado."
"PistachioDescription","218827485184","Pistachio er en kendt eventyrer og bruger sin elegante stil til at slå nye veje for sig selv. Hun ser ud til at have gjort oprør mod sin families fortid som ledere af Cornucopia Town, hvilket har ført hende til at være henrivende, højrøstet og spændt på nye oplevelser","Pistachio is a known adven-
turer and uses her elegant style to forge new paths for herself. She seems to have rebelled against her family's past as leaders of Cornucopia Town, which has lead her to be beautifully boisterous and excited for new experiences.","Pistachio e uma aventureira conhecida e utiliza seu estilo elegante para criar novos caminhos para ela mesma. Aparentemente ela se rebelou contra os antigos líderes da Cidade de Cornucopia, os quais eram parte de sua família. Após isso, seu instinto de natureza e beleza fez dela uma aventureira animada para novas experiências."
"PistachioAbility1","272258723840","PARASOLSVÆVNING:
Hold hop nede i luften for langsomt at svæve nedad.
Hold øje med dit udholdenhedshjul.","PARASOL GLIDE:
Hold jump while airborne to slowly glide downwards. 
Keep an eye on your stamina wheel.","GUARDA-SOL PLANADOR:
Segure a tecla de pulo enquanto estiver no ar para lentamente planar para baixo. 
Se mantenha atento quanto a sua roda de estâmina."
"PistachioAbility2Down","5387539607552","LIANSTIK:
Hold ned nede, mens du er i luften, for at udføre et lianstik, som gør dig i stand til at hoppe på spidse overflader.","VINE STAB:
Hold down while airborne to perform a vine stab which can bounce off of spiked surfaces, negating damage.","SALTO DE VINHA:
Segure baixo enquanto estiver no ar para realizar um salto de vinha que pode rebater contra superfícies espinhosas, negando dano."
"PistachioAbility2Attack","280525697024","LIANSTIK:
Hold angrib nede, mens du er i luften, for at udføre et lianstik, som gør dig i stand til at hoppe på spidse overflader.","VINE STAB:
Hold attack while airborne to perform a vine stab which can bounce off of spiked surfaces, negating damage.","SALTO DE VINHA:
Segure ataque enquanto estiver no ar para realizar um salto de vinha que pode rebater contra superfícies espinhosas, negando dano."
"BananaDescription","282807398400","Banana vandrer rundt i verden og leder efter mennesker, der har brug for hjælp og er aldrig ét sted længe. Optimismen farver hans verdensbillede, og han virker som limen, der holder folk sammen. Han har altid sådan et sødt smil på læben. Jeg håber, han bliver hængende...","Banana wanders the world looking for people in need of aid and is never in one place for long. Optimism colors his world view and he seems like the glue that holds people together. He always has such a cute smile on his face. I hope he sticks around...","Banana caminha o mundo à procura de pessoas com necessidades e nunca permanece em um lugar por muito tempo. Seu otimismo ajuda a colorir sua visão do mundo e ele sempre parece ser a cola que segura o grupo. Ele sempre tem um sorriso fofo em sua cara. Eu espero que ele fique por um tempão..."
"BananaAbility1","344090374144","JORDSLAG:
Tryk på angrib, mens du er i luften for at udføre et kraftigt slag, som kan skade fjender i nærheden og ødelægge sten.","GROUND SLAM:
Press attack while airborne to perform a powerful slam which can damage enemies in range and break rocks.","BATIDA DE CHÃO:
Pressione ataque enquanto estiver no ar para realizar uma poderosa batida no chão que danifica inimigos em área e quebra rochas."
"BananaAbility2","344618856448","VÆGHOP:
Du kan klamre dig til vægge og skride langs dem. Mens du skrider, tryk på hop for at udføre et væghop.","WALL JUMP:
You can cling onto walls and slide on them. While sliding, press jump to perform a wall jump.","SALTO DE ESCALADA:
Você pode se segurar e escorregar nas paredes. Enquanto estiver deslizando, pressione a tecla de pulo para realizar um salto de escalada."
